RIC;ISIN;Sector;IsOwned;NoOwnedShares;BuyingPricePerShare;Currency
DAIGn.DE;DE0007100000;Consumer Discretionary;Nein;0;0;EUR
TSLA.OQ;US88160R1014;Consumer Discretionary;Nein;0;0;
SIXG.DE;DE0007231334;Consumer Discretionary;Nein;0;0;EUR
DBKGn.DE;DE0005140008;Financials;Nein;0;0;EUR
GS.N;US38141G1040;Financials;Nein;0;0;
MUVGN.DE;DE0008430026;Financials;Nein;0;0;EUR
ALVG.DE;DE0008404005;Financials;Nein;0;0;EUR
JPM.N;US46625H1005;Financials;Nein;0;0;EUR
V.VI;US92826C8394;Financials;Nein;0;0;EUR
MA.N;US57636Q1040;Financials;Nein;0;0;
PYPL.OQ;US70450Y1038;Financials;Nein;0;0;
BASFn.DE;DE000BASF111;Materials;Nein;0;0;EUR
JNJ.N;US4781601046;Healthcare;Nein;0;0;EUR
SIEGn.DE;DE0007236101;Industrials;Nein;0;0;EUR
EONGn.DE;DE000ENAG999;Utilities;Nein;0;0;EUR
DIS.N;US2546871060;Communication;Nein;0;0;EUR
NFLX.OQ;US64110L1061;Communication;Nein;0;0;
BRKb.N;US0846707026;Financials;Nein;0;0;EUR
BLK.N;US09247X1019;Financials;Nein;0;0;EUR
KO.N;US1912161007;Consumer Staples;Nein;0;0;EUR
NVDA.OQ;US67066G1040;Technology;Nein;0;0;
INTC.OQ;US4581401001;Technology;Nein;0;0;EUR
HABG.DE;DE0006013006;Real Estate;Nein;0;0;
WMT.N;US9311421039;Consumer Staples;Nein;0;0;
FB.OQ;US30303M1027;Communication;Nein;0;0;
DPWGn.DE;DE0005552004;Industrials;Nein;0;0;EUR
FRAG.DE;DE0005773303;Industrials;Nein;0;0;EUR
BA.N;US0970231058;Industrials;Nein;0;0;
AIR.PA;NL0000235190;Industrials;Nein;0;0;EUR
RYA.I;IE00BYTBXV33;Consumer Discretionary;Nein;0;0;EUR
MTXGn.DE;DE000A0D9PT0;Industrials;Nein;0;0;EUR
SHLG.DE;DE000SHL1006;Healthcare;Nein;0;0;
DANO.PA;FR0000120644;Consumer Staples;Nein;0;0;EUR
RDSa.AS;GB00B03MLX29;Energy;Nein;0;0;EUR
AMZN.OQ;US0231351067;Consumer Discretionary;Nein;0;0;
SYK.N;US8636671013;Healthcare;Nein;0;0;
MCD.N;US5801351017;Consumer Discretionary;Nein;0;0;
SBUX.OQ;US8552441094;Consumer Discretionary;Nein;0;0;EUR
YUM.N;US9884981013;Consumer Discretionary;Nein;0;0;
AAPL.OQ;US0378331005;Technology;Nein;0;0;EUR
MSFT.OQ;US5949181045;Technology;Nein;0;0;
CRM.N;US79466L3024;Technology;Nein;0;0;
CAT.N;US1491231015;Industrials;Nein;0;0;
DGE.L;GB0002374006;Consumer Staples;Nein;0;0;
DTEGn.DE;DE0005557508;Communication;Nein;0;0;EUR
VOD.L;GB00BH4HKS39;Communication;Nein;0;0;
HEIG.DE;DE0006047004;Materials;Nein;0;0;EUR
T.N;US00206R1023;Communication;Nein;0;0;EUR
ISRG.OQ;US46120E6023;Healthcare;Nein;0;0;
VZ.N;US92343V1044;Communication;Nein;0;0;
OKE.N;US6826801036;Energy;Nein;0;0;
TERP.OQ;US88104R2094;Utilities;Nein;0;0;
BIP.N;US88104R2094;Utilities;Nein;0;0;
CTRE.OQ;US14174T1079;Real Estate;Nein;0;0;
IRBT.OQ;US4627261005;Consumer Discretionary;Nein;0;0;EUR
ZM.O;US98980L1017;Technology;Nein;0;0;
SHOP.N;CA82509L1076;Communication;Nein;0;0;
AZO.N;US0533321024;Consumer Discretionary;Nein;0;0;
DPZ.N;US25754A2015;Consumer Discretionary;Nein;0;0;
NESN.S;CH0038863350;Consumer Staples;Nein;0;0;
KR.N;US5010441013;Consumer Staples;Nein;0;0;
PG.N;US7427181091;Consumer Staples;Nein;0;0;
IBM.N;US4592001014 ;Technology;Nein;0;0;
SAPG.DE;DE0007164600;Technology;Nein;0;0;
BP.L;GB0007980591;Energy;Nein;0;0;
AZN.L;GB0009895292;Healthcare;Nein;0;0;
UNH.N;US91324P1021 ;Healthcare;Nein;0;0;
COST.OQ;US22160K1051 ;Consumer Staples;Nein;0;0;
BKNG.O;US09857L1089;Communication;Nein;0;0;
ABI.BR;BE0974293251;Consumer Staples;Nein;0;0;
AM3D.DE;DE000A111338;Technology;Nein;0;0;
MMKV.VI;AT0000938204;Materials;Nein;0;0;
LINI.DE;IE00BZ12WP82;Materials;Nein;0;0;
RAAG.DE;DE0007010803;Industrials;Nein;0;0;
TTD.OQ;US88339J1051 ;Communication;Nein;0;0;
IMB.L;GB0004544929;Consumer Staples;Nein;0;0;
WORK.N;US83088V1026;Technology;Nein;0;0;
FREG.DE;DE0005785604;Healthcare;Nein;0;0;
MDT.N;IE00BTN1Y115;Healthcare;Nein;0;0;
O.N;US7561091049;Real Estate;Nein;0;0;
CGNX.OQ;US1924221039;Industrials;Nein;0;0;
IDXX.OQ;US45168D1046;Healthcare;Nein;0;0;
MKC;US5797802064;Consumer Staples;Nein;0;0;
PEGA.OQ;US7055731035;Technology;Nein;0;0;
CRWD.OQ;US22788C1053;Technology;Nein;0;0;EUR
SQ.N;US8522341036;Financials;Nein;0;0;
